Index,Country,Accounts,Global Share,Accounts per 100 Capita,Android,iOS,Picture,Status,Business,Companions
115,Jamaica,"2,564,513",0.07,90.3,77.69,22.31,49.16,24.53,7.96,7.82
116,Taiwan,"2,554,411",0.07,10.93,41.36,58.64,46.27,25.97,2.44,6.23
117,Hungary,"2,353,727",0.07,24.31,62.09,37.91,43.37,23.56,1.02,6.46
118,China,"2,333,519",0.07,0.16,45.26,54.74,68.05,32.17,25.31,25.09
119,Bulgaria,"2,229,140",0.06,32.72,71.73,28.27,46.16,19.98,1.6,5.39
120,Sierra Leone,"2,217,255",0.06,26.5,91.33,8.67,75.46,19.97,34.68,2.02
121,Armenia,"2,163,241",0.06,74.54,68.75,31.25,50.61,26.08,2.99,4.22
122,Denmark,"2,161,142",0.06,36.43,33.01,66.99,43.52,41.07,1.33,7.56
123,Albania,"2,145,954",0.06,76.04,63.76,36.24,51.88,31.31,5.11,6.08
124,South Korea,"2,134,229",0.06,4.12,59.35,40.65,34.93,14.85,2.4,8.29
125,Norway,"2,068,774",0.06,37.69,37.02,62.98,46.26,39.66,0.97,6.74
126,Congo,"1,889,765",0.05,30.94,87.02,12.98,73.44,19.72,22.05,3.06
127,Moldova,"1,810,064",0.05,58.75,78.81,21.19,51.39,18.27,1.49,4.3
128,Bahrain,"1,760,795",0.05,113.45,67,33,60.14,36.77,15.8,11.88
129,Latvia,"1,681,184",0.05,89.19,71.11,28.89,65.11,39.43,2.09,20.32
130,Myanmar,"1,622,535",0.05,3.01,83.55,16.45,30.33,5.28,1.82,1
131,Gabon,"1,584,390",0.05,64.46,87.5,12.5,69.86,22.9,23.3,4.28
132,Gambia,"1,531,910",0.04,57.44,83.11,16.89,74.93,22.22,18.14,1.72
133,Botswana,"1,531,300",0.04,62.25,92.01,7.99,64.6,26.8,11.61,4.57
134,Cambodia,"1,511,987",0.04,8.73,54.83,45.17,43.5,15.43,5.43,8.16
135,Bosnia and Herzegovina,"1,500,311",0.04,46.97,78.55,21.45,53.5,21.1,1.26,3.73
136,Trinidad and Tobago,"1,352,506",0.04,90.17,80.46,19.54,49.79,28.53,6.53,11.29
137,Madagascar,"1,329,265",0.04,4.31,92.13,7.87,60.67,6.72,2.58,6.09
138,Burundi,"1,306,962",0.04,9.68,96.86,3.14,78.52,17.48,33.72,2.15
